S_values,z_values
0.583984,0.536542
0.585263,0.537665
0.589844,0.541897
0.586612,0.538886
0.587891,0.540077
0.589169,0.541269
0.59375,0.545723
0.590518,0.542558
0.591797,0.54381
0.593075,0.545063
0.597656,0.549629
0.594425,0.546398
0.595703,0.547676
0.596982,0.548954
0.601562,0.553483
0.598331,0.550294
0.599609,0.551556
0.600888,0.552818
0.605469,0.557201
0.602237,0.554125
0.603516,0.555342
0.604794,0.556559
0.609375,0.560787
0.606143,0.55782
0.607422,0.558994
0.6087,0.560168
0.613281,0.564337
0.61005,0.5614
0.611328,0.562562
0.612607,0.563724
0.617188,0.567971
0.613956,0.564964
0.615234,0.566154
0.616513,0.567344
0.621094,0.571753
0.617862,0.568624
0.619141,0.569862
0.620419,0.5711
0.625,0.575643
0.621768,0.572424
0.623047,0.573698
0.624325,0.574972
0.628906,0.57953
0.625675,0.576315
0.626953,0.577587
0.628232,0.578859
0.632812,0.583276
0.629581,0.580177
0.630859,0.581403
0.632138,0.582629
0.636719,0.58679
0.633487,0.583883
0.634766,0.585033
0.636044,0.586183
0.640625,0.590082
0.637393,0.587358
0.638672,0.588436
0.63995,0.589513
0.644531,0.593285
0.6413,0.590635
0.642578,0.591683
0.643857,0.592732
0.648438,0.596586
0.645206,0.593855
0.646484,0.594936
0.647763,0.596016
0.652344,0.600114
0.649112,0.597196
0.650391,0.59835
0.651669,0.599505
0.65625,0.603872
0.653018,0.600763
0.654297,0.601993
0.655575,0.603223
0.660156,0.607762
0.656925,0.604544
0.658203,0.605817
0.659482,0.60709
0.664062,0.611651
0.660831,0.608434
0.662109,0.609707
0.663388,0.610979
0.667969,0.615435
0.664737,0.612304
0.666016,0.613543
0.667294,0.614782
0.671875,0.619094
0.668643,0.616067
0.669922,0.617264
0.6712,0.618462
0.675781,0.622699
0.67255,0.619716
0.673828,0.620896
0.675107,0.622076
0.679688,0.626362
0.676456,0.623331
0.677734,0.624531
0.679013,0.62573
0.683594,0.630152
0.680362,0.627017
0.681641,0.628257
0.682919,0.629498
0.6875,0.634044
0.684268,0.630824
0.685547,0.632098
0.686825,0.633372
0.691406,0.63793
0.688175,0.634715
0.689453,0.635987
0.690732,0.637259
0.695312,0.641669
0.692081,0.638576
0.693359,0.639799
0.694638,0.641023
0.699219,0.645152
0.695987,0.64227
0.697266,0.643411
0.698544,0.644551
0.703125,0.648372
0.699893,0.645708
0.701172,0.646762
0.70245,0.647816
0.707031,0.651454
0.7038,0.648904
0.705078,0.649913
0.706357,0.650922
0.710938,0.654609
0.707706,0.651999
0.708984,0.653031
0.710263,0.654064
0.714844,0.658002
0.711612,0.655195
0.712891,0.656306
0.714169,0.657416
0.71875,0.661667
0.715518,0.658635
0.716797,0.659835
0.718075,0.661035
0.722656,0.665521
0.719425,0.662333
0.720703,0.663594
0.721982,0.664856
0.726562,0.669426
0.723331,0.666195
0.724609,0.667473
0.725888,0.668752
0.730469,0.673262
0.727237,0.670088
0.728516,0.671344
0.729794,0.6726
0.734375,0.676985
0.731143,0.673905
0.732422,0.675123
0.7337,0.676342
0.738281,0.680641
0.73505,0.677616
0.736328,0.678813
0.737607,0.68001
0.742188,0.684332
0.738956,0.681278
0.740234,0.682487
0.741513,0.683695
0.746094,0.688131
0.742862,0.684988
0.744141,0.686232
0.745419,0.687475
0.75,0.692024
0.746768,0.688803
0.748047,0.690077
0.749325,0.691351
0.753906,0.695909
0.750675,0.692694
0.751953,0.693966
0.753232,0.695238
0.757812,0.699641
0.754581,0.696553
0.755859,0.697775
0.757138,0.698997
0.761719,0.703096
0.758487,0.700238
0.759766,0.701368
0.761044,0.702499
0.765625,0.70624
0.762393,0.703639
0.763672,0.704668
0.76495,0.705697
0.769531,0.70919
0.7663,0.70675
0.767578,0.707715
0.768857,0.708681
0.773438,0.712177
0.770206,0.709706
0.771484,0.710684
0.772763,0.711662
0.777344,0.71541
0.774112,0.712735
0.775391,0.713793
0.776669,0.714852
0.78125,0.718957
0.778018,0.716022
0.779297,0.717183
0.780575,0.718344
0.785156,0.722751
0.781925,0.719612
0.783203,0.720854
0.784482,0.722096
0.789062,0.726652
0.785831,0.723424
0.787109,0.724701
0.788388,0.725979
0.792969,0.730527
0.789737,0.727321
0.791016,0.72859
0.792294,0.729858
0.796875,0.734304
0.793643,0.731179
0.794922,0.732416
0.7962,0.733652
0.800781,0.738008
0.79755,0.734944
0.798828,0.736156
0.800107,0.737368
0.804688,0.741725
0.801456,0.73865
0.802734,0.739866
0.804013,0.741083
0.808594,0.745532
0.805362,0.742382
0.806641,0.743628
0.807919,0.744875
0.8125,0.749425
0.809268,0.746204
0.810547,0.747479
0.811825,0.748753
0.816406,0.75331
0.813175,0.750096
0.814453,0.751368
0.815732,0.752639
0.820312,0.757037
0.817081,0.753954
0.818359,0.755174
0.819638,0.756394
0.824219,0.760464
0.820987,0.757629
0.822266,0.758751
0.823544,0.759873
0.828125,0.763533
0.824893,0.760994
0.826172,0.761999
0.82745,0.763003
0.832031,0.766338
0.8288,0.764017
0.830078,0.764936
0.831357,0.765854
0.835938,0.769132
0.832706,0.766821
0.833984,0.767735
0.835263,0.76865
0.839844,0.772173
0.836612,0.769657
0.837891,0.770652
0.839169,0.771648
0.84375,0.775572
0.840518,0.77276
0.841797,0.773872
0.843075,0.774985
0.847656,0.779281
0.844425,0.776213
0.845703,0.777427
0.846982,0.778641
0.851562,0.78316
0.848331,0.779951
0.849609,0.78122
0.850888,0.78249
0.855469,0.787058
0.852237,0.783833
0.853516,0.785109
0.854794,0.786385
0.859375,0.790881
0.856143,0.787718
0.857422,0.788969
0.8587,0.790221
0.863281,0.794627
0.86005,0.791528
0.861328,0.792754
0.862607,0.79398
0.867188,0.798369
0.863956,0.795273
0.865234,0.796498
0.866513,0.797723
0.871094,0.802183
0.867862,0.799028
0.869141,0.800276
0.870419,0.801525
0.875,0.806077
0.871768,0.802856
0.873047,0.80413
0.874325,0.805405
0.878906,0.809963
0.875675,0.806748
0.876953,0.80802
0.878232,0.809292
0.882812,0.813686
0.879581,0.810606
0.880859,0.811824
0.882138,0.813043
0.886719,0.817088
0.883487,0.814274
0.884766,0.815387
0.886044,0.816501
0.890625,0.820078
0.887393,0.817604
0.888672,0.818583
0.88995,0.819562
0.894531,0.822726
0.8913,0.820536
0.892578,0.821402
0.893857,0.822269
0.898438,0.825296
0.895206,0.82317
0.896484,0.824011
0.897763,0.824852
0.902344,0.828107
0.899112,0.825781
0.900391,0.826701
0.901669,0.827622
0.90625,0.831324
0.903018,0.828662
0.904297,0.829715
0.905575,0.830768
0.910156,0.834919
0.906925,0.831945
0.908203,0.833122
0.909482,0.834298
0.914062,0.838753
0.910831,0.835581
0.912109,0.836836
0.913388,0.838091
0.917969,0.842659
0.914737,0.839427
