S_values,r_values
0.6875,0.964869
0.684268,0.964318
0.685547,0.964536
0.686825,0.964754
0.691406,0.965661
0.688175,0.965006
0.689453,0.965265
0.690732,0.965524
0.695312,0.96657
0.692081,0.965818
0.693359,0.966116
0.694638,0.966413
0.699219,0.967588
0.695987,0.966746
0.697266,0.967079
0.698544,0.967413
0.703125,0.968706
0.699893,0.967781
0.701172,0.968147
0.70245,0.968513
0.707031,0.969914
0.7038,0.968915
0.705078,0.96931
0.706357,0.969705
0.710938,0.971201
0.707706,0.970136
0.708984,0.970557
0.710263,0.970978
0.714844,0.972555
0.711612,0.971435
0.712891,0.971878
0.714169,0.972321
0.71875,0.973967
0.715518,0.972799
0.716797,0.973261
0.718075,0.973723
0.722656,0.975423
0.719425,0.974218
0.720703,0.974695
0.721982,0.975171
0.726562,0.976911
0.723331,0.97568
0.724609,0.976167
0.725888,0.976654
0.730469,0.978419
0.727237,0.977171
0.728516,0.977665
0.729794,0.978159
0.734375,0.979936
0.731143,0.978681
0.732422,0.979178
0.7337,0.979674
0.738281,0.981447
0.73505,0.980197
0.736328,0.980691
0.737607,0.981186
0.742188,0.982941
0.738956,0.981705
0.740234,0.982194
0.741513,0.982683
0.746094,0.984405
0.742862,0.983193
0.744141,0.983673
0.745419,0.984152
0.75,0.985827
0.746768,0.98465
0.748047,0.985116
0.749325,0.985581
0.753906,0.987195
0.750675,0.986063
0.751953,0.986511
0.753232,0.986959
0.757812,0.988497
0.754581,0.98742
0.755859,0.987846
0.757138,0.988272
0.761719,0.989723
0.758487,0.988709
0.759766,0.98911
0.761044,0.989511
0.765625,0.990861
0.762393,0.989919
0.763672,0.990292
0.76495,0.990664
0.769531,0.9919
0.7663,0.99104
0.767578,0.99138
0.768857,0.991721
0.773438,0.992832
0.770206,0.992061
0.771484,0.992366
0.772763,0.992671
0.777344,0.993647
0.774112,0.992973
0.775391,0.993239
0.776669,0.993506
0.78125,0.994335
0.778018,0.993765
0.779297,0.993991
0.780575,0.994216
0.785156,0.994891
0.781925,0.994431
0.783203,0.994613
0.784482,0.994795
0.789062,0.995305
0.785831,0.994962
0.787109,0.995098
0.788388,0.995233
0.792969,0.995572
0.789737,0.995351
0.791016,0.995439
0.792294,0.995526
0.796875,0.995686
0.793643,0.995592
0.794922,0.995629
0.7962,0.995667
0.800781,0.995643
0.79755,0.995679
0.798828,0.995665
0.800107,0.995651
0.804688,0.995438
0.801456,0.995608
0.802734,0.99554
0.804013,0.995473
0.808594,0.995068
0.805362,0.995374
0.806641,0.995253
0.807919,0.995131
0.8125,0.99453
0.809268,0.994975
0.810547,0.994799
0.811825,0.994623
0.816406,0.993824
0.813175,0.994408
0.814453,0.994177
0.815732,0.993946
0.820312,0.992948
0.817081,0.993673
0.818359,0.993386
0.819638,0.9931
0.824219,0.991904
0.820987,0.992768
0.822266,0.992426
0.823544,0.992084
0.828125,0.990692
0.824893,0.991695
0.826172,0.991298
0.82745,0.990901
0.832031,0.989314
0.8288,0.990454
0.830078,0.990003
0.831357,0.989552
0.835938,0.987773
0.832706,0.989048
0.833984,0.988543
0.835263,0.988039
0.839844,0.986074
0.836612,0.98748
0.837891,0.986923
0.839169,0.986367
0.84375,0.98422
0.840518,0.985754
0.841797,0.985147
0.843075,0.98454
0.847656,0.982218
0.844425,0.983874
0.845703,0.983219
0.846982,0.982563
0.851562,0.980073
0.848331,0.981847
0.849609,0.981145
0.850888,0.980443
0.855469,0.977793
0.852237,0.979679
0.853516,0.978933
0.854794,0.978186
0.859375,0.975385
0.856143,0.977377
0.857422,0.976589
0.8587,0.975801
0.863281,0.972859
0.86005,0.974949
0.861328,0.974122
0.862607,0.973295
0.867188,0.970223
0.863956,0.972403
0.865234,0.971541
0.866513,0.970678
0.871094,0.967487
0.867862,0.96975
0.869141,0.968855
0.870419,0.967959
0.875,0.964662
0.871768,0.966999
0.873047,0.966074
0.874325,0.96515
0.878906,0.961759
0.875675,0.964161
0.876953,0.96321
0.878232,0.96226
0.882812,0.958789
0.879581,0.961246
0.880859,0.960274
0.882138,0.959302
0.886719,0.955765
0.883487,0.958267
0.884766,0.957277
0.886044,0.956287
0.890625,0.952699
0.887393,0.955236
0.888672,0.954232
0.88995,0.953228
0.894531,0.949603
0.8913,0.952164
0.892578,0.951151
0.893857,0.950137
0.898438,0.94649
0.895206,0.949065
0.896484,0.948046
0.897763,0.947027
0.902344,0.943374
0.899112,0.945952
0.900391,0.944932
0.901669,0.943912
0.90625,0.940267
0.903018,0.942837
0.904297,0.94182
0.905575,0.940803
0.910156,0.937183
0.906925,0.939734
0.908203,0.938725
0.909482,0.937716
0.914062,0.934135
0.910831,0.936657
0.912109,0.935659
0.913388,0.934661
0.917969,0.931136
0.914737,0.933617
0.916016,0.932636
0.917294,0.931654
0.921875,0.928199
0.918643,0.930629
0.919922,0.929667
0.9212,0.928706
0.925781,0.925335
0.92255,0.927704
0.923828,0.926767
0.925107,0.92583
0.929688,0.922558
0.926456,0.924856
0.927734,0.923947
0.929013,0.923038
0.933594,0.919879
0.930362,0.922095
0.931641,0.921218
0.932919,0.920341
0.9375,0.917307
0.934268,0.919435
0.935547,0.918593
0.936825,0.917751
0.941406,0.914855
0.938175,0.916884
0.939453,0.916081
0.940732,0.915279
0.945312,0.912531
0.942081,0.914454
